rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
15,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,48307,15,9,ARE,2024-02-29,17phhZDn6oGtzMe56NuWvj
16,spotify:track:69phA1R4gmQsBFRQ3INW8C,Rich Amiri,ONE CALL,Internet Money Records / 10K Projects,48253,14,6,ARE,2024-02-29,69phA1R4gmQsBFRQ3INW8C
17,spotify:track:1zzejMGRYKP5XOa3FmzXfa,Sai Abhyankkar,"Katchi Sera - From ""Think Indie""",Think Music,48191,17,4,ARE,2024-02-29,1zzejMGRYKP5XOa3FmzXfa
18,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,47441,1,33,ARE,2024-02-29,2HRgqmZQC0MC7GeNuDIXHN
19,spotify:track:0TL0LFcwIBF5eX7arDIKxY,Anuv Jain,Husn,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),47049,8,11,ARE,2024-02-29,0TL0LFcwIBF5eX7arDIKxY
20,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,44992,15,61,ARE,2024-02-29,4iZ4pt7kvcaH6Yo8UoZ4s2
21,spotify:track:5mjYQaktjmjcMKcUIcqz4s,Kenya Grace,Strangers,Warner Records/Major Recordings,42356,4,26,ARE,2024-02-29,5mjYQaktjmjcMKcUIcqz4s
22,spotify:track:04CyMEHliadfQWMUJb1w99,"¥$, Kanye West, Ty Dolla $ign",BURN,Ye,42310,19,3,ARE,2024-02-29,04CyMEHliadfQWMUJb1w99
23,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,42245,17,90,ARE,2024-02-29,5XeFesFbtLpXzIVDNQP22n
24,spotify:track:7yDHHVKLbvDmVw1XXhDDIO,"Vishal Mishra, Raj Shekhar",Pehle Bhi Main,T-Series,42013,10,13,ARE,2024-02-29,7yDHHVKLbvDmVw1XXhDDIO
25,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,41292,11,242,ARE,2024-02-29,7MXVkk9YMctZqd1Srtv4MB
26,spotify:track:1bjeWoagtHmUKputLVyDxQ,SZA,Saturn,Top Dawg Entertainment/RCA Records,39853,26,1,ARE,2024-02-29,1bjeWoagtHmUKputLVyDxQ
27,spotify:track:6uTPdRrEDeH8Fyg5L5qmeU,Flo Milli,Never Lose Me,'94 Sounds/RCA Records,38784,14,7,ARE,2024-02-29,6uTPdRrEDeH8Fyg5L5qmeU
28,spotify:track:6Qb7YsAqH4wWFUMbGsCpap,Dua Lipa,Training Season,Warner Records,38199,18,2,ARE,2024-02-29,6Qb7YsAqH4wWFUMbGsCpap
29,spotify:track:7DSAEUvxU8FajXtRloy8M0,Miley Cyrus,Flowers,Columbia,37798,1,59,ARE,2024-02-29,7DSAEUvxU8FajXtRloy8M0
30,spotify:track:4OMJGnvZfDvsePyCwRGO7X,Dua Lipa,Houdini,Warner Records,37655,14,16,ARE,2024-02-29,4OMJGnvZfDvsePyCwRGO7X
31,spotify:track:6wsqVwoiVH2kde4k4KKAFU,Travis Scott,I KNOW ?,Cactus Jack/Epic,37572,9,31,ARE,2024-02-29,6wsqVwoiVH2kde4k4KKAFU
32,spotify:track:7gaA3wERFkFkgivjwbSvkG,Ariana Grande,"yes, and?",Republic Records,36583,2,7,ARE,2024-02-29,7gaA3wERFkFkgivjwbSvkG
33,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,36075,6,90,ARE,2024-02-29,1dGr1c8CrMLDpV6mPbImSI
34,spotify:track:3xMHXmedL5Rvfxmiar9Ryv,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",Chaleya,T-Series,35818,1,29,ARE,2024-02-29,3xMHXmedL5Rvfxmiar9Ryv
35,spotify:track:56y1jOTK0XSvJzVv9vHQBK,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,35734,1,30,ARE,2024-02-29,56y1jOTK0XSvJzVv9vHQBK
36,spotify:track:3U5JVgI2x4rDyHGObzJfNf,Natasha Bedingfield,Unwritten,Sony Music CG,35065,36,5,ARE,2024-02-29,3U5JVgI2x4rDyHGObzJfNf
37,spotify:track:3h5TiWTqGxjSjFrbruPFH9,YG Marley,Praise Jah In The Moonlight,YG Marley Music,35033,37,4,ARE,2024-02-29,3h5TiWTqGxjSjFrbruPFH9
38,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,34967,6,127,ARE,2024-02-29,6I3mqTwhRpn34SLVafSH7G
39,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,Elektra (NEK),34608,39,164,ARE,2024-02-29,7BqBn9nzAq8spo5e7cZ0dJ
40,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,34200,1,64,ARE,2024-02-29,1Qrg8KqiBpW07V7PNxwwwL
41,spotify:track:1zi7xx7UVEFkmKfv06H8x0,"Drake, Wizkid, Kyla",One Dance,Cash Money Records/Young Money Ent./Universal Rec.,33916,26,171,ARE,2024-02-29,1zi7xx7UVEFkmKfv06H8x0
42,spotify:track:1yeB8MUNeLo9Ek1UEpsyz6,"Drake, Sexyy Red, SZA",Rich Baby Daddy (feat. Sexyy Red & SZA),OVO/Republic,33451,20,21,ARE,2024-02-29,1yeB8MUNeLo9Ek1UEpsyz6
43,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,33345,1,100,ARE,2024-02-29,4Dvkj6JhhA12EX05fT7y2e
44,spotify:track:2n0OFvWzkojBD1kVIOeGqe,"Juan Caoile, Kyleswish, Jawz",Marikit Sa Dilim,Viva Records,32975,44,2,ARE,2024-02-29,2n0OFvWzkojBD1kVIOeGqe
45,spotify:track:4kjI1gwQZRKNDkw1nI475M,Travis Scott,MY EYES,Cactus Jack/Epic,32571,13,31,ARE,2024-02-29,4kjI1gwQZRKNDkw1nI475M
46,spotify:track:1s7oOCT8vauUh01PbJD6ps,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,32428,1,79,ARE,2024-02-29,1s7oOCT8vauUh01PbJD6ps
47,spotify:track:2lX53kXvYnvpV8Vqfe4S7s,"Aashir Wajahat, NAYEL, Nehaal Naseem",Sadqay,Sony Music Entertainment,31910,47,1,ARE,2024-02-29,2lX53kXvYnvpV8Vqfe4S7s
48,spotify:track:2Hh3ETdQKrmSI3QS0hme7g,"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),Republic Records,31721,7,65,ARE,2024-02-29,2Hh3ETdQKrmSI3QS0hme7g
49,spotify:track:6IR6mzRO60hnMjNoq8rCPE,"Raghav, Tanishk Bagchi, Asees Kaur","Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")",T-Series,31358,49,3,ARE,2024-02-29,6IR6mzRO60hnMjNoq8rCPE
50,spotify:track:3yHyiUDJdz02FZ6jfUbsmY,"Arijit Singh, Shreyas Puranik, Siddharth - Garima","Satranga (From ""ANIMAL"")",T-Series,30585,19,14,ARE,2024-02-29,3yHyiUDJdz02FZ6jfUbsmY
1,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,97558,1,23,ARE,2024-02-22,3rUGC1vUpkDG9CZFHMur1t
2,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,88330,2,63,ARE,2024-02-22,1BxfuPKGuaTgP7aM0Bbdwr
