rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
29,spotify:track:629DixmZGHc7ILtEntuiWE,Billie Eilish,LUNCH,Darkroom/Interscope Records,51334,6,9,SAU,2024-07-18,629DixmZGHc7ILtEntuiWE
30,spotify:track:1CDQzbCz4KSQxHe7LMEgRM,Eminem,Houdini,Shady/Aftermath/Interscope Records,50458,7,7,SAU,2024-07-18,1CDQzbCz4KSQxHe7LMEgRM
31,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,Dead Oceans,49739,1,44,SAU,2024-07-18,3vkCueOmm7xQDoJ17W1Pm3
32,spotify:track:5496lks6V3fh1mZAB6IAap,"Sevdaliza, Pabllo Vittar, Yseult",Alibi (with Pabllo Vittar & Yseult),Twisted Elegance,49579,32,2,SAU,2024-07-18,5496lks6V3fh1mZAB6IAap
33,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Ariana Grande,we can't be friends (wait for your love),Republic Records,49471,3,19,SAU,2024-07-18,51ZQ1vr10ffzbwIjDCwqm4
34,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,49267,28,46,SAU,2024-07-18,3hRV0jL3vUpRrcy398teAU
35,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,48175,16,9,SAU,2024-07-18,3QaPy1KgI7nu9FJEQUgn6h
36,spotify:track:3p4hRhMcb6ch8OLtATMaLw,Cigarettes After Sex,Cry,Partisan Records,48151,15,109,SAU,2024-07-18,3p4hRhMcb6ch8OLtATMaLw
37,spotify:track:6fdjPVlCwFryREAsmRHy4C,"vtze archive, Mc Ster",MONTAGEM DIAMANTE ROSA - SLOWED,broke,46948,21,21,SAU,2024-07-18,6fdjPVlCwFryREAsmRHy4C
38,spotify:track:4tKBEzm5jPrV4b1GYZnN2P,Abdul Majeed Abdullah,يا ابن الأوادم,Rotana Music,46520,16,79,SAU,2024-07-18,4tKBEzm5jPrV4b1GYZnN2P
39,spotify:track:0YThXX1dqUpYBLyJNAsF9N,Yeat,If We Being Rëal,Field Trip Recordings/Capitol Records,45680,27,15,SAU,2024-07-18,0YThXX1dqUpYBLyJNAsF9N
40,spotify:track:4QlbWOnT3ZoR2mTsyg362u,Aws Al Saber,شلون بية,Aws Al Saber,45281,35,42,SAU,2024-07-18,4QlbWOnT3ZoR2mTsyg362u
41,spotify:track:7j4OmvkjRz0PrjFADlHfQx,Adele,Set Fire to the Rain,XL Recordings,45088,1,127,SAU,2024-07-18,7j4OmvkjRz0PrjFADlHfQx
42,spotify:track:7mE7qSqqq7Bv5lm7r7ObMf,Shela,Akhsamna Tandas - Remix,Rock records,44825,24,147,SAU,2024-07-18,7mE7qSqqq7Bv5lm7r7ObMf
43,spotify:track:1FEiijYPJtyswChfcpv3p0,Lana Del Rey,Summertime Sadness,Polydor Records,43993,8,104,SAU,2024-07-18,1FEiijYPJtyswChfcpv3p0
44,spotify:track:3IEMwWyYlzeuik3KI3ljne,Bee Remix,ايباه (ريمكس),Bee Remix,43411,44,3,SAU,2024-07-18,3IEMwWyYlzeuik3KI3ljne
45,spotify:track:60AVJqYgyAlCckC6Nh2tgO,"2KE, 808iuli",X-SLIDE,broke,43285,45,3,SAU,2024-07-18,60AVJqYgyAlCckC6Nh2tgO
46,spotify:track:4VL5XwfATZuAVTW471Wpro,"xxanteria, isq",FUNKED UP - SLOWED,25/7 Records LLC.,43081,23,25,SAU,2024-07-18,4VL5XwfATZuAVTW471Wpro
47,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,42454,1,120,SAU,2024-07-18,4Dvkj6JhhA12EX05fT7y2e
48,spotify:track:5VZ0soW5syQfefCUj603DW,"HISTED, TXVSTERPLAYA",MASHA ULTRAFUNK,broke,42233,20,12,SAU,2024-07-18,5VZ0soW5syQfefCUj603DW
49,spotify:track:1GWi8rGKliy6DLpnI5WPLs,Oumaima Taleb,قلت مش هتسبني,Rotana Music,41697,49,8,SAU,2024-07-18,1GWi8rGKliy6DLpnI5WPLs
50,spotify:track:7iabz12vAuVQYyekFIWJxD,"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),Columbia,41576,23,8,SAU,2024-07-18,7iabz12vAuVQYyekFIWJxD
1,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,162421,1,8,SAU,2024-07-11,6dOtVTDdiauQNBQEDOtlAB
2,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,159173,1,13,SAU,2024-07-11,2qSkIjg1o9h3YT9RAgYN75
