rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
19,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,187676,4,63,KOR,2025-01-23,2KslE17cAJNHTsI2MI0jb2
20,spotify:track:45zLrK0668WQ5JFMyiYmCS,Jimin,Interlude : Showtime,BIGHIT MUSIC,186433,10,27,KOR,2025-01-23,45zLrK0668WQ5JFMyiYmCS
21,spotify:track:1MUZitHRpmng5NevrvNx4T,BABYMONSTER,DRIP,YG Entertainment,185251,12,12,KOR,2025-01-23,1MUZitHRpmng5NevrvNx4T
22,spotify:track:2SR0alFA2oWYXSoePGTj0V,Jin,I’ll Be There,BIGHIT MUSIC,178781,7,13,KOR,2025-01-23,2SR0alFA2oWYXSoePGTj0V
23,spotify:track:6iu311jZAJFLPgoIWgrA72,BIGBANG,BANG BANG BANG,YG Entertainment,165478,23,10,KOR,2025-01-23,6iu311jZAJFLPgoIWgrA72
24,spotify:track:4EwNWRBWdZ6bgvxRHlZ8OO,G-DRAGON,CROOKED,YG Entertainment,154281,24,13,KOR,2025-01-23,4EwNWRBWdZ6bgvxRHlZ8OO
25,spotify:track:1k68vKHNQXU5CHqcM7Yp7N,DAY6,HAPPY,Republic Records - DAY6,149295,5,24,KOR,2025-01-23,1k68vKHNQXU5CHqcM7Yp7N
26,spotify:track:1MC8JLPV4fbvVBqvGSLoDf,Jimin,Who (Rock Remix),BIGHIT MUSIC,139247,13,27,KOR,2025-01-23,1MC8JLPV4fbvVBqvGSLoDf
27,spotify:track:5FxasBmho2yEvgXrzp9MMW,G-DRAGON,"무제(無題) (Untitled, 2014)",YG Entertainment,139048,22,15,KOR,2025-01-23,5FxasBmho2yEvgXrzp9MMW
28,spotify:track:10I5rhhFoWZDIN3kEc6Dbo,Jimin,Who (Acoustic Remix),BIGHIT MUSIC,138483,12,27,KOR,2025-01-23,10I5rhhFoWZDIN3kEc6Dbo
29,spotify:track:5ocSQW5sIUIOFojwXEz9Ki,NewJeans,Supernatural,ADOR,132359,2,31,KOR,2025-01-23,5ocSQW5sIUIOFojwXEz9Ki
30,spotify:track:7KZNgri6Jxw88FAfATw6i9,Jimin,Who (Funky Remix),BIGHIT MUSIC,132081,17,27,KOR,2025-01-23,7KZNgri6Jxw88FAfATw6i9
31,spotify:track:1ySWoGgrduSzvtJ3PUzO41,Jimin,Who (Shibuyakei Remix),BIGHIT MUSIC,131452,15,27,KOR,2025-01-23,1ySWoGgrduSzvtJ3PUzO41
32,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,131298,1,96,KOR,2025-01-23,3Ua0m0YmEjrMi9XErKcNiR
33,spotify:track:3TSLqZssCoCdDlMhCJ08XW,BIGBANG,Still Life,YG Entertainment,130934,1,62,KOR,2025-01-23,3TSLqZssCoCdDlMhCJ08XW
34,spotify:track:1aKvZDoLGkNMxoRYgkckZG,ILLIT,Magnetic,BELIFT LAB,129962,1,44,KOR,2025-01-23,1aKvZDoLGkNMxoRYgkckZG
35,spotify:track:2isRbZIIU4PqPrECffn7QO,Jimin,Who (Beautiful Mind Remix),BIGHIT MUSIC,129067,18,27,KOR,2025-01-23,2isRbZIIU4PqPrECffn7QO
36,spotify:track:1Px44tw80Q4rcCl8FxDGOi,Jimin,Who (Instrumental),BIGHIT MUSIC,128534,20,27,KOR,2025-01-23,1Px44tw80Q4rcCl8FxDGOi
37,spotify:track:38tXZcL1gZRfbqfOG0VMTH,NewJeans,How Sweet,ADOR,128360,1,35,KOR,2025-01-23,38tXZcL1gZRfbqfOG0VMTH
38,spotify:track:4XsJiRJQAK8TWcZCn0Dxlh,G-DRAGON,POWER,Galaxy Corporation / EMPIRE,127234,4,13,KOR,2025-01-23,4XsJiRJQAK8TWcZCn0Dxlh
39,spotify:track:5sjnkOfTLCLNfkkchI2re2,aespa,UP - KARINA Solo,SM Entertainment,127096,5,16,KOR,2025-01-23,5sjnkOfTLCLNfkkchI2re2
40,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,126182,20,36,KOR,2025-01-23,6dOtVTDdiauQNBQEDOtlAB
41,spotify:track:4xeugB5MqWh0jwvXZPxahq,WOODZ,Drowning,EDAM Entertainment,125466,41,16,KOR,2025-01-23,4xeugB5MqWh0jwvXZPxahq
42,spotify:track:2JhbSmNAyM9kYiqwa8Tpla,aespa,Supernova,SM Entertainment,124664,1,37,KOR,2025-01-23,2JhbSmNAyM9kYiqwa8Tpla
43,spotify:track:6oNLSQX8bcAdbCElZYju3v,fromis_9,Supersonic,PLEDIS Entertainment,119495,12,24,KOR,2025-01-23,6oNLSQX8bcAdbCElZYju3v
44,spotify:track:3vnaEaDxMKdBhqA1t0uAwl,Lim Young Woong,Warmth,Mulgogi Music,118805,12,38,KOR,2025-01-23,3vnaEaDxMKdBhqA1t0uAwl
45,spotify:track:4WUpMUjdoi47LY7gBQBXe3,Lim Young Woong,Grain of Sand,물고기뮤직,118014,8,86,KOR,2025-01-23,4WUpMUjdoi47LY7gBQBXe3
46,spotify:track:3r8RuvgbX9s7ammBn07D3W,NewJeans,Ditto,ADOR,117826,1,110,KOR,2025-01-23,3r8RuvgbX9s7ammBn07D3W
47,spotify:track:18x0Z8JUwLA2LhgsIHbNy3,DAY6,Time of Our Life -Japanese ver.- - Japanese ver.,WM Japan,117724,29,113,KOR,2025-01-23,18x0Z8JUwLA2LhgsIHbNy3
48,spotify:track:2PlsVMcOn6ujc2UEYs2Yat,Lim Young Woong,Home,Mulgogi Music,117605,13,38,KOR,2025-01-23,2PlsVMcOn6ujc2UEYs2Yat
49,spotify:track:4gxEY3Mh5FZZDAJAKPNrCS,LE SSERAFIM,CRAZY,SOURCE MUSIC,116046,4,21,KOR,2025-01-23,4gxEY3Mh5FZZDAJAKPNrCS
50,spotify:track:21ewxM3YvcdTj7cC0XwznO,Lim Young Woong,Do or Die,Mulgogi Music,114138,6,68,KOR,2025-01-23,21ewxM3YvcdTj7cC0XwznO
1,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,1187146,1,26,KOR,2025-01-16,7tI8dRuH2Yc6RuoTjxo4dU
2,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,408349,1,79,KOR,2025-01-16,2HRgqmZQC0MC7GeNuDIXHN
