rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
12,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,907735,1,66,THA,2024-10-17,2HRgqmZQC0MC7GeNuDIXHN
13,spotify:track:6BN3iFjclJ4teGlmB3fFvo,"Cocktail, Q Flure",Yours Ever,GMM Music Public Company Limited,828533,13,2,THA,2024-10-17,6BN3iFjclJ4teGlmB3fFvo
14,spotify:track:5F4fAhzhdHtaQ8nNqWAufl,Jeff Satur,"เหมือนวิวาห์ (Rain wedding) [From ""วิมานหนาม""]",WM/Thailand,823771,6,8,THA,2024-10-17,5F4fAhzhdHtaQ8nNqWAufl
15,spotify:track:2a78JDp7YVCyEydtRiHOn7,PUN,I Just Wanna Know,Universal Music (Thailand) Ltd.,797585,12,5,THA,2024-10-17,2a78JDp7YVCyEydtRiHOn7
16,spotify:track:6vvPecFTmWxDfEJ6cYT1wa,LISA,Rockstar,Lloud Co./RCA Records,762279,1,16,THA,2024-10-17,6vvPecFTmWxDfEJ6cYT1wa
17,spotify:track:2JhbSmNAyM9kYiqwa8Tpla,aespa,Supernova,SM Entertainment,739127,3,23,THA,2024-10-17,2JhbSmNAyM9kYiqwa8Tpla
18,spotify:track:4kE80JWRissrodmXuo0xYi,"THE TOYS, NONT TANONT",ดอกไม้ที่รอฝน (spring),What The Duck,719113,5,13,THA,2024-10-17,4kE80JWRissrodmXuo0xYi
19,spotify:track:2AdBbeVaEdW731a3FXJAJC,"Lipta, Mirrr",อยู่ได้แล้ว,Lipta,688384,16,11,THA,2024-10-17,2AdBbeVaEdW731a3FXJAJC
20,spotify:track:2MuJCv3nCgHYlgOrAvCAT6,fellow fellow,Proud,Kicks Records,683955,8,14,THA,2024-10-17,2MuJCv3nCgHYlgOrAvCAT6
21,spotify:track:2xoA126GEgFhrYzRaTH7E4,aespa,Spark - WINTER Solo,SM Entertainment,644902,21,2,THA,2024-10-17,2xoA126GEgFhrYzRaTH7E4
