rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
43,spotify:track:7iabz12vAuVQYyekFIWJxD,"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),Columbia,101956,7,10,AUS,2024-08-01,7iabz12vAuVQYyekFIWJxD
44,spotify:track:2wvUmObLQbxClXFsuhw8Ns,AYLIVA,Nein!,Whiteheart Records/WM Germany,101044,23,2,AUS,2024-08-01,2wvUmObLQbxClXFsuhw8Ns
45,spotify:track:1XBYiRV30ykHw5f4wm6qEn,The Kid LAROI,NIGHTS LIKE THIS,Columbia,96774,44,6,AUS,2024-08-01,1XBYiRV30ykHw5f4wm6qEn
46,spotify:track:3ilgxZl5g7MOQCUiky3VOG,Pashanim,Ms. Jackson,Urban,95809,2,49,AUS,2024-08-01,3ilgxZl5g7MOQCUiky3VOG
47,spotify:track:5RKQ5NdjSh2QzD4MaunT91,Journey,Don't Stop Believin' (2022 Remaster),Columbia/Legacy,95566,47,260,AUS,2024-08-01,5RKQ5NdjSh2QzD4MaunT91
48,spotify:track:6me7F0aaZjwDo6RJ5MrfBD,Richy Mitch & The Coal Miners,Evergreen,Richy Mitch & The Coal Miners,95330,27,42,AUS,2024-08-01,6me7F0aaZjwDo6RJ5MrfBD
49,spotify:track:0bhnFakmRioZbuQcmhVwoH,"Kabin Crew, Lisdoonvarna Crew",The Spark,Rubyworks Ltd. / 95,92326,32,7,AUS,2024-08-01,0bhnFakmRioZbuQcmhVwoH
50,spotify:track:59NraMJsLaMCVtwXTSia8i,"cassö, RAYE, D-Block Europe",Prada,Ministry of Sound Recordings,92033,3,51,AUS,2024-08-01,59NraMJsLaMCVtwXTSia8i
1,spotify:track:0Rgdhptwk0A3Clbu5RpYI1,"Luciano, Jazeek",Starboy,URBAN,242824,1,1,AUS,2024-07-25,0Rgdhptwk0A3Clbu5RpYI1
2,spotify:track:1CDQzbCz4KSQxHe7LMEgRM,Eminem,Houdini,Shady/Aftermath/Interscope Records,240490,1,8,AUS,2024-07-25,1CDQzbCz4KSQxHe7LMEgRM
3,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,Myles Smith,Stargazing,RCA Records Label,217095,3,11,AUS,2024-07-25,3Vr3zh0r7ALn8VLqCiRR10
4,spotify:track:1BJJbSX6muJVF2AK7uH1x4,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,Keinemusik,211903,4,7,AUS,2024-07-25,1BJJbSX6muJVF2AK7uH1x4
5,spotify:track:6XjDF6nds4DE2BBbagZol6,"FloyyMenor, Cris Mj",Gata Only,FloyyMenor under exclusive license to UnitedMasters LLC,211758,2,16,AUS,2024-07-25,6XjDF6nds4DE2BBbagZol6
6,spotify:track:5496lks6V3fh1mZAB6IAap,"Sevdaliza, Pabllo Vittar, Yseult",Alibi (with Pabllo Vittar & Yseult),Twisted Elegance,209954,6,3,AUS,2024-07-25,5496lks6V3fh1mZAB6IAap
7,spotify:track:5uQ7de4EWjb3rkcFxyEOpu,Mark Ambor,Belong Together,"Hundred Days Records, LLC",205439,3,21,AUS,2024-07-25,5uQ7de4EWjb3rkcFxyEOpu
8,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,204292,4,15,AUS,2024-07-25,2qSkIjg1o9h3YT9RAgYN75
9,spotify:track:3qcreqi8RaGqahtJSQDxNI,GReeeN,Panama,recordJet,197909,1,8,AUS,2024-07-25,3qcreqi8RaGqahtJSQDxNI
10,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",195459,1,27,AUS,2024-07-25,3xkHsmpQCBMytMJNiDf3Ii
11,spotify:track:5Z0UnEtpLDQyYlWwgi8m9C,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,193567,2,17,AUS,2024-07-25,5Z0UnEtpLDQyYlWwgi8m9C
12,spotify:track:0h3Xy4V4apMraB5NuM8U7Z,CYRIL,Stumblin' In,Spinnin' Records,190804,5,28,AUS,2024-07-25,0h3Xy4V4apMraB5NuM8U7Z
13,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,186210,9,14,AUS,2024-07-25,5fZJQrFKWQLb7FpJXZ1g7K
14,spotify:track:3JG1uFc40wfyrqaWC7iv0e,Artemas,i like the way you kiss me,Artemas,184378,1,19,AUS,2024-07-25,3JG1uFc40wfyrqaWC7iv0e
15,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,179193,8,10,AUS,2024-07-25,6dOtVTDdiauQNBQEDOtlAB
16,spotify:track:48lxT5qJF0yYyf2z4wB4xW,"Jaxomy, Agatino Romero, Raffaella Carrà",Pedro,Columbia/B1 Recordings/Ultra Records,168825,3,16,AUS,2024-07-25,48lxT5qJF0yYyf2z4wB4xW
17,spotify:track:3pPMgoouYtezLiBTEeL9be,"FOURTY, Bausa, CHEKAA",VEMPA,Life is Pain,164007,10,14,AUS,2024-07-25,3pPMgoouYtezLiBTEeL9be
18,spotify:track:2uqYupMHANxnwgeiXTZXzd,Dasha,Austin (Boots Stop Workin'),Warner Records,159408,11,22,AUS,2024-07-25,2uqYupMHANxnwgeiXTZXzd
19,spotify:track:331l3xABO0HMr1Kkyh2LZq,"David Guetta, OneRepublic",I Don't Wanna Wait,Parlophone UK,158815,18,16,AUS,2024-07-25,331l3xABO0HMr1Kkyh2LZq
20,spotify:track:1NifMX1JqCz9caJowG8dxq,"$OHO BANI, Herbert Grönemeyer, Ericson","ZEIT, DASS SICH WAS DREHT",Epic/$OHO BANI,158777,1,22,AUS,2024-07-25,1NifMX1JqCz9caJowG8dxq
21,spotify:track:3U5JVgI2x4rDyHGObzJfNf,Natasha Bedingfield,Unwritten,Sony Music CG,150294,1,29,AUS,2024-07-25,3U5JVgI2x4rDyHGObzJfNf
22,spotify:track:6leQi7NakJQS1vHRtZsroe,Pashanim,Mittelmeer,Urban,143996,1,9,AUS,2024-07-25,6leQi7NakJQS1vHRtZsroe
23,spotify:track:2wvUmObLQbxClXFsuhw8Ns,AYLIVA,Nein!,Whiteheart Records/WM Germany,141071,23,1,AUS,2024-07-25,2wvUmObLQbxClXFsuhw8Ns
24,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",135392,22,12,AUS,2024-07-25,6AI3ezQ4o3HUoP6Dhudph3
25,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,134865,7,29,AUS,2024-07-25,17phhZDn6oGtzMe56NuWvj
26,spotify:track:16f4ZN6XOfrIO8fJkm28HM,"AYLIVA, Apache 207",Wunder,Whiteheart Records/WM Germany,128561,2,13,AUS,2024-07-25,16f4ZN6XOfrIO8fJkm28HM
27,spotify:track:0Mvc2FRCYnVjMTd4jx4DMq,"Zartmann, Ski Aggu, Dauner",wie du manchmal fehlst,Bamboo Artists/Epic,125644,10,9,AUS,2024-07-25,0Mvc2FRCYnVjMTd4jx4DMq
28,spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt,"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),Ministry of Sound Recordings,122297,17,30,AUS,2024-07-25,09CnYHiZ5jGT1wr1TXJ9Zt
29,spotify:track:5N3hjp1WNayUPZrA8kJmJP,Sabrina Carpenter,Please Please Please,Island Records,121133,8,7,AUS,2024-07-25,5N3hjp1WNayUPZrA8kJmJP
30,spotify:track:1cXo8i9dgutdqjhjz3Zwqq,"Zartmann, Drumla, Dauner",eehhhyyy,Bamboo Artists/Epic,117269,30,3,AUS,2024-07-25,1cXo8i9dgutdqjhjz3Zwqq
31,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,"Don Omar, Lucenzo",Danza Kuduro,UMLE - Machete,113570,29,133,AUS,2024-07-25,2a1o6ZejUi8U3wzzOtCOYw
32,spotify:track:31nfdEooLEq7dn3UMcIeB5,BENNETT,Vois sur ton chemin - Techno Mix,Warner Music Central Europe,112839,2,51,AUS,2024-07-25,31nfdEooLEq7dn3UMcIeB5
33,spotify:track:4MSj19TwYBLgDFj3ddEeco,"Lost Frequencies, Tom Odell",Black Friday (pretty like the sun),UROK,112544,33,1,AUS,2024-07-25,4MSj19TwYBLgDFj3ddEeco
34,spotify:track:42VsgItocQwOQC3XWZ8JNA,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),Cactus Jack/Epic,111571,2,52,AUS,2024-07-25,42VsgItocQwOQC3XWZ8JNA
35,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,111362,29,101,AUS,2024-07-25,1mea3bSkSGXuIRvnydlB5b
36,spotify:track:7iabz12vAuVQYyekFIWJxD,"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),Columbia,111022,7,9,AUS,2024-07-25,7iabz12vAuVQYyekFIWJxD
37,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,Tommy Richman,MILLION DOLLAR BABY,PULSE Records,109218,5,12,AUS,2024-07-25,5AJ9hqTS2wcFQCELCFRO7A
38,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,109060,21,137,AUS,2024-07-25,3hRV0jL3vUpRrcy398teAU
39,spotify:track:2hrycoFU1mZw6YPvMcn8yC,Jordan Adetunji,KEHLANI,300 Entertainment,108843,38,5,AUS,2024-07-25,2hrycoFU1mZw6YPvMcn8yC
40,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,107685,39,9,AUS,2024-07-25,0WbMK4wrZ1wFSty9F7FCgu
41,spotify:track:0bhnFakmRioZbuQcmhVwoH,"Kabin Crew, Lisdoonvarna Crew",The Spark,Rubyworks Ltd. / 95,105495,32,6,AUS,2024-07-25,0bhnFakmRioZbuQcmhVwoH
42,spotify:track:1ctq4FdMatfR9ZNCY8WKbM,Ufo361,DENK ZU VIEL NACH,Epic/Stay High,104472,42,1,AUS,2024-07-25,1ctq4FdMatfR9ZNCY8WKbM
43,spotify:track:27jIKs9ZEe4m19j3lx4E2b,Tayna,Si Ai,PENDRAGON,103542,21,3,AUS,2024-07-25,27jIKs9ZEe4m19j3lx4E2b
44,spotify:track:1XBYiRV30ykHw5f4wm6qEn,The Kid LAROI,NIGHTS LIKE THIS,Columbia,102920,44,5,AUS,2024-07-25,1XBYiRV30ykHw5f4wm6qEn
45,spotify:track:57lsYy0OZLNb5OQ7fEa3Hs,"Ice Spice, Central Cee",Did It First (with Central Cee),10K Projects/Capitol Records,101023,45,2,AUS,2024-07-25,57lsYy0OZLNb5OQ7fEa3Hs
46,spotify:track:3ilgxZl5g7MOQCUiky3VOG,Pashanim,Ms. Jackson,Urban,100178,2,48,AUS,2024-07-25,3ilgxZl5g7MOQCUiky3VOG
47,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,100045,18,60,AUS,2024-07-25,1BxfuPKGuaTgP7aM0Bbdwr
48,spotify:track:22DH8NChecsgPxDjA4pqer,"Quavo, Lana Del Rey",Tough,Quality Control Music/Motown Records,95959,23,3,AUS,2024-07-25,22DH8NChecsgPxDjA4pqer
49,spotify:track:5RKQ5NdjSh2QzD4MaunT91,Journey,Don't Stop Believin' (2022 Remaster),Columbia/Legacy,95383,49,259,AUS,2024-07-25,5RKQ5NdjSh2QzD4MaunT91
50,spotify:track:59NraMJsLaMCVtwXTSia8i,"cassö, RAYE, D-Block Europe",Prada,Ministry of Sound Recordings,94465,3,50,AUS,2024-07-25,59NraMJsLaMCVtwXTSia8i
1,spotify:track:1CDQzbCz4KSQxHe7LMEgRM,Eminem,Houdini,Shady/Aftermath/Interscope Records,285345,1,7,AUS,2024-07-18,1CDQzbCz4KSQxHe7LMEgRM
2,spotify:track:6XjDF6nds4DE2BBbagZol6,"FloyyMenor, Cris Mj",Gata Only,FloyyMenor under exclusive license to UnitedMasters LLC,223551,2,15,AUS,2024-07-18,6XjDF6nds4DE2BBbagZol6
3,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,Myles Smith,Stargazing,RCA Records Label,216839,3,10,AUS,2024-07-18,3Vr3zh0r7ALn8VLqCiRR10
4,spotify:track:3JG1uFc40wfyrqaWC7iv0e,Artemas,i like the way you kiss me,Artemas,211807,1,18,AUS,2024-07-18,3JG1uFc40wfyrqaWC7iv0e
5,spotify:track:3qcreqi8RaGqahtJSQDxNI,GReeeN,Panama,recordJet,211412,1,7,AUS,2024-07-18,3qcreqi8RaGqahtJSQDxNI
6,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,210380,4,14,AUS,2024-07-18,2qSkIjg1o9h3YT9RAgYN75
7,spotify:track:5Z0UnEtpLDQyYlWwgi8m9C,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,205620,2,16,AUS,2024-07-18,5Z0UnEtpLDQyYlWwgi8m9C
8,spotify:track:1BJJbSX6muJVF2AK7uH1x4,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,Keinemusik,204220,8,6,AUS,2024-07-18,1BJJbSX6muJVF2AK7uH1x4
9,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",204090,1,26,AUS,2024-07-18,3xkHsmpQCBMytMJNiDf3Ii
10,spotify:track:5uQ7de4EWjb3rkcFxyEOpu,Mark Ambor,Belong Together,"Hundred Days Records, LLC",199055,3,20,AUS,2024-07-18,5uQ7de4EWjb3rkcFxyEOpu
11,spotify:track:0h3Xy4V4apMraB5NuM8U7Z,CYRIL,Stumblin' In,Spinnin' Records,193811,5,27,AUS,2024-07-18,0h3Xy4V4apMraB5NuM8U7Z
12,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,187136,9,13,AUS,2024-07-18,5fZJQrFKWQLb7FpJXZ1g7K
