rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
170,"spotify:track:0h9R6nt2UzgiMm85hkaNfx","Cledos, ibe","Kauemmas","WM Finland",2,180,47,"58659"
171,"spotify:track:2ENexcMEMsYk0rVJigVD3i","Rihanna","Only Girl (In The World)","Def Jam Recordings",162,193,13,"58586"
172,"spotify:track:0IJEnvu1p4OIzkY8UiQXCt","DAVI, VJ","Lambo (feat. VJ)","WM Finland",6,175,26,"58283"
173,"spotify:track:6aHVPCIzIovTCYyOEvJu7K","JVG, Märkä-Simo","Häissä (feat. Märkä-Simo)","WM Finland",51,-1,104,"58094"
174,"spotify:track:1odExI7RdWc4BT515LTAwj","David Kushner","Daylight","Miserable Music Group, LLC",11,181,48,"57945"
175,"spotify:track:0xjLHCJYuLyeHJNIo0eWkf","emma & matilda","Huoleton","WM Finland",38,98,7,"57801"
176,"spotify:track:4LF4LXtyULKaS3skaAndBp","ibe","ORANSSI","Skorpioni",3,183,63,"57766"
177,"spotify:track:6TtwLAz0ScACjzE02HTzkx","Juha Tapio","Kaksi puuta","WEA",174,-1,3,"57217"
178,"spotify:track:3bIKi7iQ8lnX5oA8xILBon","pehmoaino","haluun takas mun perhoset","Sony Music Entertainment Finland",1,-1,50,"57146"
179,"spotify:track:3Dm6U20G6fSOeHkySBjx1w","KERZA","Los Blancos","Sony Music Entertainment Finland",21,192,29,"57091"
180,"spotify:track:1UFLFBOYKUtKu7B2PWsTOI","Isac Elliot, ibe","Kaks","Universal Music Oy",4,179,46,"57054"
181,"spotify:track:00HzPyMHUN8aafKYCia7VQ","VIIVI, JVG","Mitä näil korteil saa?","WM Finland",3,-1,43,"56733"
182,"spotify:track:25fP20sXXDvyH0CXoINKSL","Olli Halonen","Miten käärmeet lisääntyy","WM Finland",47,171,9,"56590"
183,"spotify:track:4E63weMCaNZuGPEFMnuEi8","Tate McRae","exes","RCA Records Label",37,161,18,"56347"
184,"spotify:track:3gVhsZtseYtY1fMuyYq06F","Rammstein","Sonne","Vertigo Berlin",46,-1,34,"56189"
