rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
29,spotify:track:1xgWArLVFD1AKsLzftZYc2,"Oscar Maydon, Gabito Ballesteros, Chino Pacas",Elvira,Rancho Humilde,4557762,29,8,MEX,2024-02-15,1xgWArLVFD1AKsLzftZYc2
30,spotify:track:29vIEdxgMT9H1fnBMecWjA,Julión Álvarez y su Norteño Banda,Lo Tienes Todo,UMLE - Fonovisa,4505717,30,12,MEX,2024-02-15,29vIEdxgMT9H1fnBMecWjA
31,spotify:track:1tzj4DDVNp6X2ltpdTGtZW,"Javier Rosas Y Su Artillería Pesada, Lupe Borbon y su Blindaje 7",La Suma,Rosas Music,4364658,28,4,MEX,2024-02-15,1tzj4DDVNp6X2ltpdTGtZW
32,spotify:track:7iQXYTyuG13aoeHxGG28Nh,"Bad Bunny, Feid",PERRO NEGRO,Rimas Entertainment LLC,4363025,4,18,MEX,2024-02-15,7iQXYTyuG13aoeHxGG28Nh
33,spotify:track:1GtIK8iINes4gNt06F60NU,Alfredo Olivas,Vete,Fonovisa,4279790,28,33,MEX,2024-02-15,1GtIK8iINes4gNt06F60NU
34,spotify:track:3PdxzrKH2jVQwAYWe0OMK8,"Gabito Ballesteros, Natanael Cano",Proyecto X,Los CT Records,4252339,34,2,MEX,2024-02-15,3PdxzrKH2jVQwAYWe0OMK8
35,spotify:track:2DRGyAlo0ht15FGLTQPCCt,"Adrian L Santos, Joaquin Medina",Ya No Estoy Dolido,Rancho Humilde,4067619,35,5,MEX,2024-02-15,2DRGyAlo0ht15FGLTQPCCt
36,spotify:track:5cWgwbui8BasfjCXvBZ7UA,"Carin Leon, Grupo Frontera",Alch Si,SOCIOS MUSIC LLC,3988290,36,11,MEX,2024-02-15,5cWgwbui8BasfjCXvBZ7UA
37,spotify:track:0lbDzTINTToToBpkrnQT2t,"Fuerza Regida, Manuel Turizo",UNA CERVEZA,Rancho Humilde/Street Mob Records,3975593,35,8,MEX,2024-02-15,0lbDzTINTToToBpkrnQT2t
38,spotify:track:1UL2Sn9KX8StSDOp8ZEAOC,Doble ONE Flow Letal,Mi Kryptonita,CUELLO BLANCO,3951127,25,16,MEX,2024-02-15,1UL2Sn9KX8StSDOp8ZEAOC
39,spotify:track:2NQZVzSRRatbbPWD5IfadH,Xavi,Sin Pagar Renta,Interscope Records,3909846,32,10,MEX,2024-02-15,2NQZVzSRRatbbPWD5IfadH
40,spotify:track:5HR7yfhSCeoOHRQN05XnZQ,"Grupo Frontera, Carin Leon",QUE VUELVAS,Grupo Frontera,3820081,2,62,MEX,2024-02-15,5HR7yfhSCeoOHRQN05XnZQ
41,spotify:track:4GvEuYAfJlICR2SpMDaBxQ,"Jere Klein, Gittobeatz",ANDO,Jere Klein,3714031,37,13,MEX,2024-02-15,4GvEuYAfJlICR2SpMDaBxQ
42,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,Myke Towers,LA FALDA,WEA Latina,3634271,42,9,MEX,2024-02-15,7iUtQNMRB8ZkKC4AmEuCJC
43,spotify:track:213Q7w8RMi5qbj18kvWasy,Belinda,Cactus,WM Mexico,3597716,26,2,MEX,2024-02-15,213Q7w8RMi5qbj18kvWasy
44,spotify:track:3wlIAXSDtlD9iU8ysld06Z,"Peso Pluma, Jasiel Nuñez, Junior H",BIPOLAR,Double P Records,3574402,13,23,MEX,2024-02-15,3wlIAXSDtlD9iU8ysld06Z
45,spotify:track:505v13epFXodT9fVAJ6h8k,KAROL G,AMARGURA,BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO,3566465,38,40,MEX,2024-02-15,505v13epFXodT9fVAJ6h8k
46,spotify:track:2yzshFeBIwH8tWIqHEFLeD,"Grupo Frontera, Bad Bunny",un x100to,Grupo Frontera,3520023,2,44,MEX,2024-02-15,2yzshFeBIwH8tWIqHEFLeD
