rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
33,spotify:track:51eSHglvG1RJXtL3qI5trr,Benson Boone,Slow It Down,"Night Street Records, Inc./Warner Records Inc.",210937,25,23,Chrats_BEL🇧🇪,2024-08-29,51eSHglvG1RJXtL3qI5trr,84,161831,False,,2024-04-05,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,https://i.scdn.co/image/ab6761610000e5ebd2b2a1cea3b6b44f4bae14b2
34,spotify:track:4uzKAj0mIyYmyhsRRyPXaQ,Alex Warren,Carry You Home,Atlantic Records,205921,34,11,Chrats_BEL🇧🇪,2024-08-29,4uzKAj0mIyYmyhsRRyPXaQ,74,166880,False,,2024-05-31,https://i.scdn.co/image/ab67616d0000b27305efa6dce38504deb91fe687,https://i.scdn.co/image/ab6761610000e5eb16259488e0146d0807b53e62
35,spotify:track:48lxT5qJF0yYyf2z4wB4xW,"Jaxomy, Agatino Romero, Raffaella Carrà",Pedro,Columbia/B1 Recordings/Ultra Records,192739,3,21,Chrats_BEL🇧🇪,2024-08-29,48lxT5qJF0yYyf2z4wB4xW,78,144846,False,,2024-03-29,https://i.scdn.co/image/ab67616d0000b273df8680015ddf76e5c444849f,https://i.scdn.co/image/ab6761610000e5eb6b39a78666ca71a16bc9655a
36,spotify:track:5MpZphaE8ML2JJrtdPy6Pt,"Zerb, Sofiya Nzau",Mwaki,TH3RD BRAIN,189463,20,29,Chrats_BEL🇧🇪,2024-08-29,5MpZphaE8ML2JJrtdPy6Pt,44,208135,False,afro house,2023-11-10,https://i.scdn.co/image/ab67616d0000b273261d9fe6946ef30301b4b061,https://i.scdn.co/image/ab6761610000e5eb3c4b328a67452501711670cb
37,spotify:track:3bK1zVFBKIzYjmptmI4NsJ,"Ofenbach, Norma Jean Martine",Overdrive (feat. Norma Jean Martine),Elektra France,185076,7,44,Chrats_BEL🇧🇪,2024-08-29,3bK1zVFBKIzYjmptmI4NsJ,79,155905,False,,2023-10-06,https://i.scdn.co/image/ab67616d0000b273249f764814d57dc5dfc462c7,https://i.scdn.co/image/ab6761610000e5eb23862a6a0c3572e66e7bfb5c
38,spotify:track:02nm2yGw7BygWmRcbFhAlC,"Roxy Dekker, Ronnie Flex",Gaan We Weg?,Warner Music Benelux,181205,23,7,Chrats_BEL🇧🇪,2024-08-29,02nm2yGw7BygWmRcbFhAlC,65,141775,False,nederpop,2024-07-12,https://i.scdn.co/image/ab67616d0000b2736471a4a22adea18860cd8b22,https://i.scdn.co/image/ab6761610000e5ebf153334656b20d5a5b1ad052
39,spotify:track:1CDQzbCz4KSQxHe7LMEgRM,Eminem,Houdini,Shady/Aftermath/Interscope Records,180389,5,13,Chrats_BEL🇧🇪,2024-08-29,1CDQzbCz4KSQxHe7LMEgRM,77,227032,True,rap,2024-07-12,https://i.scdn.co/image/ab67616d0000b2731633c43b5695735f7de36487,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b
40,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,177954,22,185,Chrats_BEL🇧🇪,2024-08-29,3hRV0jL3vUpRrcy398teAU,88,208211,False,,2015-04-06,https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583,https://i.scdn.co/image/ab6761610000e5eb0d4d3bb72e9375017fd94f71
41,spotify:track:4isw5ZvMgv2M8diuxiVHwI,"BANKROLL, Zoey Dollaz, Papii Steez, Fat Wizza",100 Bands,ZLE Records,177601,41,2,Chrats_BEL🇧🇪,2024-08-29,4isw5ZvMgv2M8diuxiVHwI,17,235354,True,,2024-08-09,https://i.scdn.co/image/ab67616d0000b2737359fb169786017af011a933,https://i.scdn.co/image/ab6761610000e5ebd4590ab8b35ae1c6494380cf
42,spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt,"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),Ministry of Sound Recordings,176568,12,36,Chrats_BEL🇧🇪,2024-08-29,09CnYHiZ5jGT1wr1TXJ9Zt,82,140000,False,big room,2023-12-01,https://i.scdn.co/image/ab67616d0000b2730aa08f8923434aab06e43b37,https://i.scdn.co/image/ab6761610000e5ebcd222b80720653f7309fdcaa
