rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
18,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,1184301,18,27,FRA,2025-01-02,6WatFBLVB0x077xWeoVc2k,91,195824,False,reggaeton,2024-06-21,https://i.scdn.co/image/ab67616d0000b273491678beaffcefac517a699e,https://i.scdn.co/image/ab6761610000e5eb4b0754aefc9db490e02205ec
19,spotify:track:2lftd3hyoAZ0DdxwyUqBw5,GIMS,Où aller,Play Two,1120893,15,15,FRA,2025-01-02,2lftd3hyoAZ0DdxwyUqBw5,68,235746,False,french pop,2018-03-23,https://i.scdn.co/image/ab67616d0000b273ff18a961bd2f335474f0afa2,https://i.scdn.co/image/ab6761610000e5eb77144f838397a467e807df65
20,spotify:track:6P3HLPsc5pWu3sZYxL0S9N,SANTA,Recommence-moi,999 Productions / Parlophone,1120364,16,36,FRA,2025-01-02,6P3HLPsc5pWu3sZYxL0S9N,71,196334,False,variété française,2024-05-24,https://i.scdn.co/image/ab67616d0000b2738ec1d323eca7c1d48390eb9a,https://i.scdn.co/image/ab6761610000e5eb7081731d491aed7c708001f8
21,spotify:track:6C0SXfD7rR46MpWK5VJSEw,"Tiakola, Ryflo, Oskoow",MANON B,M3lo World / Atlantic Records,1110746,2,18,FRA,2025-01-02,6C0SXfD7rR46MpWK5VJSEw,65,169846,True,pop urbaine,2024-09-20,https://i.scdn.co/image/ab67616d0000b2732ce65e1fddfaf10dbe42b701,https://i.scdn.co/image/ab6761610000e5eb4d4f46d8b3b786409a8c3219
22,spotify:track:0M3oxmcIljJfjIPhpEwcyH,GIMS,OHMA TOKITA,Play Two,1099913,15,14,FRA,2025-01-02,0M3oxmcIljJfjIPhpEwcyH,69,135257,False,french pop,2024-09-26,https://i.scdn.co/image/ab67616d0000b2737b4302e268a7d85de5f5c524,https://i.scdn.co/image/ab6761610000e5eb77144f838397a467e807df65
23,spotify:track:5496lks6V3fh1mZAB6IAap,"Sevdaliza, Pabllo Vittar, Yseult",Alibi (with Pabllo Vittar & Yseult),Twisted Elegance,1065633,13,26,FRA,2025-01-02,5496lks6V3fh1mZAB6IAap,82,161655,False,,2024-06-28,https://i.scdn.co/image/ab67616d0000b2734ee35e37bc21fe929a4d3605,https://i.scdn.co/image/ab6761610000e5eb62ee96f535c8939e42bb68d7
24,spotify:track:6uqUEyqPScFznadOkI7Nvm,Jul,"Un jour, je l'aurai",D'Or et de Platine,1054612,14,7,FRA,2025-01-02,6uqUEyqPScFznadOkI7Nvm,67,226760,True,pop urbaine,2024-12-06,https://i.scdn.co/image/ab67616d0000b27384fcb225fcd2a8fb7d7b26c5,https://i.scdn.co/image/ab6761610000e5eb043c7633712d706c54b625e6
25,spotify:track:2PWJx5FwMrMVEaTjwYait1,"Favé, Gazo",FLASHBACK,109 Record / Morning Glory Music / Believe,1051311,2,68,FRA,2025-01-02,2PWJx5FwMrMVEaTjwYait1,69,176120,True,,2023-10-13,https://i.scdn.co/image/ab67616d0000b273bed20ca2a508148c3f8cffd8,https://i.scdn.co/image/ab6761610000e5ebb422420f5e4047e2d66cba1a
26,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1009429,1,50,FRA,2025-01-02,3xkHsmpQCBMytMJNiDf3Ii,86,180304,False,,2024-04-05,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,https://i.scdn.co/image/ab6761610000e5ebd2b2a1cea3b6b44f4bae14b2
27,spotify:track:5SLs7GOdSvWhbxxJkTqf2u,"Ninho, Niska",Collabo,Jefe Productions / Charo Inc / WMF / UMF,1005808,10,10,FRA,2025-01-02,5SLs7GOdSvWhbxxJkTqf2u,71,174153,True,pop urbaine,2024-10-25,https://i.scdn.co/image/ab67616d0000b273d30660d949dfac1116226d0f,https://i.scdn.co/image/ab6761610000e5eb791b1ecfe6f3101115430fb5
