rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
30,spotify:track:2O4Bb2WCkjlTPO827OnBMI,LE SSERAFIM,EASY,SOURCE MUSIC,1084287,19,10,JPN,2024-04-25,2O4Bb2WCkjlTPO827OnBMI,75,164545,False,k-pop,2024-02-19,https://i.scdn.co/image/ab67616d0000b273110f5426b8c149e80804912a,https://i.scdn.co/image/ab6761610000e5ebd7d7064b17d00c6f8755eae6
31,spotify:track:0JcI7OdALbpSFkyKoufRYs,Mrs. GREEN APPLE,ロマンチシズム,Universal Music LLC,1082426,23,217,JPN,2024-04-25,0JcI7OdALbpSFkyKoufRYs,69,213613,False,j-pop,2019-10-01,https://i.scdn.co/image/ab67616d0000b27381f55cd879e9480e3ed313df,https://i.scdn.co/image/ab6761610000e5eb3745f83871d6016e5e9ce5d8
32,spotify:track:0YTM7bCx451c6LQbkddy4Q,YOASOBI,勇者,YOASOBI,1069380,5,30,JPN,2024-04-25,0YTM7bCx451c6LQbkddy4Q,67,194266,False,j-pop,2023-10-04,https://i.scdn.co/image/ab67616d0000b273f3527c2e1ffc2e99bb6a072e,https://i.scdn.co/image/ab6761610000e5ebbfdd8a29d0c6bc6950055234
33,spotify:track:3RvdkNMcSy71m0aT6UF9Uf,back number,水平線,Universal Music LLC,1059599,1,141,JPN,2024-04-25,3RvdkNMcSy71m0aT6UF9Uf,70,288013,False,j-pop,2023-01-17,https://i.scdn.co/image/ab67616d0000b273fd363d834b815375814ae78e,https://i.scdn.co/image/ab6761610000e5eb561bf1e63b7fe992f5ed0cf8
34,spotify:track:4bM9itWEyMkLUSd2VeROAd,tuki.,サクラキミワタシ,月面着陸計画,1044792,34,14,JPN,2024-04-25,4bM9itWEyMkLUSd2VeROAd,58,202533,False,j-pop,2024-01-10,https://i.scdn.co/image/ab67616d0000b273132e2eb0c976ecb243375e60,https://i.scdn.co/image/ab6761610000e5eb8f46c09be6b50e67ecfbcbb7
35,spotify:track:7M0dIdZWN1FDcveRdoOzbZ,Yuuri,ビリミリオン,Sony Music Labels Inc.,1044062,5,66,JPN,2024-04-25,7M0dIdZWN1FDcveRdoOzbZ,65,228760,False,j-pop,2023-03-29,https://i.scdn.co/image/ab67616d0000b273188327ac9022d86ad2dd6483,https://i.scdn.co/image/ab6761610000e5eb2f68be1a1a95221976c0fbba
36,spotify:track:0GWNtMohuYUEHVZ40tcnHF,King Gnu,SPECIALZ,Sony Music Labels Inc.,1042844,1,34,JPN,2024-04-25,0GWNtMohuYUEHVZ40tcnHF,71,238986,False,j-pop,2023-09-01,https://i.scdn.co/image/ab67616d0000b273ef96f1d50c9562c321ef207e,https://i.scdn.co/image/ab6761610000e5eba37245f3231e8c66116638e1
37,spotify:track:74X2u8JMVooG2QbjRxXwR8,LE SSERAFIM,Perfect Night,SOURCE MUSIC,1041346,7,26,JPN,2024-04-25,74X2u8JMVooG2QbjRxXwR8,77,159080,False,k-pop,2023-10-27,https://i.scdn.co/image/ab67616d0000b2735e352f6eccf8cb96d0b247cc,https://i.scdn.co/image/ab6761610000e5ebd7d7064b17d00c6f8755eae6
38,spotify:track:7sditHCsoFw3nHnjFv1BHV,Mrs. GREEN APPLE,ナハトムジーク,Universal Music LLC,997972,4,15,JPN,2024-04-25,7sditHCsoFw3nHnjFv1BHV,67,262984,False,j-pop,2024-01-16,https://i.scdn.co/image/ab67616d0000b273fa4883b48bca09df940e982d,https://i.scdn.co/image/ab6761610000e5eb3745f83871d6016e5e9ce5d8
39,spotify:track:0fXXfojTJEeJEF0p69qmo2,NiziU,SWEET NONFICTION,Sony Music Labels Inc.,992422,34,6,JPN,2024-04-25,0fXXfojTJEeJEF0p69qmo2,58,199693,False,j-pop,2024-03-14,https://i.scdn.co/image/ab67616d0000b2734c9c4473c19e89568b85393b,https://i.scdn.co/image/ab6761610000e5eb08158dba0d7cc95161757a0b
