rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
191,"spotify:track:7yKjDDd9w01nFEOD5adoHq","Phyno, Burna Boy","Do I - Remix","Penthauze / Spaceship Ent.",11,178,28,"101964"
192,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",157,168,22,"101671"
193,"spotify:track:3rRKu7N2zRgb0pF9DLrrBI","CKay","by now","Warner Music Africa",64,153,18,"101027"
194,"spotify:track:2eknBYpfzA4Mp5zWHMGac5","Young Jonn","If You Leave","Chocolate City Music",17,-1,82,"100877"
195,"spotify:track:5jYCb3QsnXxS2Qh5HzwT7J","Nasboi","Small Money","Eminent Transglobal Sounds Record Limited.",62,191,10,"99863"
196,"spotify:track:7hVCMjcsJPgUMHUvN4dDKq","Victony","Kolomental","VICTONY/KVLT",3,84,114,"99646"
197,"spotify:track:6xcJyGpfZbuuiequtnlKt4","Travis Scott","BUTTERFLY EFFECT","Cactus Jack / Epic",164,-1,12,"99628"
198,"spotify:track:78QR3Wp35dqAhFEc2qAGjE","Lil Baby, Gunna","Drip Too Hard (Lil Baby & Gunna)","Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",75,181,102,"99531"
199,"spotify:track:4Xik88j0lef96PqxYFR66a","Muyeez, Tml Vibez","Trending","Dvpper Digital",110,110,4,"99485"
200,"spotify:track:6TBpPOmLOa1mInpq3PIz6N","Shallipopi, Pa Monday-Edo","Obapluto (feat. Pa Monday-Edo)","Plutomania / Dvpper Music",3,-1,44,"99388"
