rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
9,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,345657,6,8,DNK,2025-01-23,35ISBknsCeZQtq66xABI9g
10,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",344676,7,14,DNK,2025-01-23,7ne4VBA60CxGM75vw0EYad
11,spotify:track:7CW3Tjll8pUMZxsuo8GZgV,"Suspekt, URO",Tænker Ik På Andre (feat. URO),Universal Music A/S,318568,1,21,DNK,2025-01-23,7CW3Tjll8pUMZxsuo8GZgV
12,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,300018,8,36,DNK,2025-01-23,6dOtVTDdiauQNBQEDOtlAB
13,spotify:track:0fFMt9cc1EEQDIWLGDcqKd,Annika,Så længe jeg er sexy.,Universal Music A/S,291942,2,25,DNK,2025-01-23,0fFMt9cc1EEQDIWLGDcqKd
14,spotify:track:1ZatLEMZsAslxDA5zw3S6V,"Lamin, Ukendt Kunstner",Tro På Det,Universal Music A/S,288281,1,18,DNK,2025-01-23,1ZatLEMZsAslxDA5zw3S6V
15,spotify:track:3ZNTae1ZOrSaURxMZAVFq6,"Ankerstjerne, Daniel Schulz, Panamah",Børn Af Natten (Hola Bonita),10 Lions Ent,283833,2,42,DNK,2025-01-23,3ZNTae1ZOrSaURxMZAVFq6
16,spotify:track:0nVUuzrVZc5t9S48ifesg6,APHACA,Smelter Under Månen,a United Records release,283532,12,22,DNK,2025-01-23,0nVUuzrVZc5t9S48ifesg6
17,spotify:track:3r0C7cXKzwGQaKLFHr810N,"Anton Westerlin, Benny Jamz",2 Stepper Freestyle,Universal Music A/S,263691,5,4,DNK,2025-01-23,3r0C7cXKzwGQaKLFHr810N
18,spotify:track:7vSUZ9T4AjaKiKcEexIXeb,MAS,Lønningsdag,Universal Music A/S,256452,18,2,DNK,2025-01-23,7vSUZ9T4AjaKiKcEexIXeb
19,spotify:track:3xJeUxbt51wpvGk3YzqxLi,"Benny Jamz, Gilli",Reposado,Universal Music A/S,252231,2,31,DNK,2025-01-23,3xJeUxbt51wpvGk3YzqxLi
20,spotify:track:4XmuzEhU6LPRL4fdWqt6LU,Zuloo,MOLLY,ZRECORDS,249390,14,13,DNK,2025-01-23,4XmuzEhU6LPRL4fdWqt6LU
21,spotify:track:6KliOBbtUUSwHHFjDzYVPe,Annika,Knuser Hjerter,Universal Music A/S,245560,6,48,DNK,2025-01-23,6KliOBbtUUSwHHFjDzYVPe
22,spotify:track:6TT6zYIiI0nSzXMuI801zP,Gilli,Robocop,Universal Music A/S,240855,11,4,DNK,2025-01-23,6TT6zYIiI0nSzXMuI801zP
23,spotify:track:6EfIo8vxfIBT2IZrzGHbpP,"Mumle, Svea S",Hvor Solen Ik' Skinner,Capitol Records,232072,13,27,DNK,2025-01-23,6EfIo8vxfIBT2IZrzGHbpP
24,spotify:track:1OL1vwKA4R3UFMNr6hUZ4l,MAS,Blomster & Regnvejr,Universal Music A/S,230933,24,1,DNK,2025-01-23,1OL1vwKA4R3UFMNr6hUZ4l
25,spotify:track:6vdsc40TnfCdZsWj7GecQV,Mumle,Det Modsatte,Capitol Records,222978,6,59,DNK,2025-01-23,6vdsc40TnfCdZsWj7GecQV
26,spotify:track:2j59di23XCFfbdJPE5KuNw,"Lamin, Gilli",Hva Du På (feat. Gilli),Universal Music A/S,217186,1,34,DNK,2025-01-23,2j59di23XCFfbdJPE5KuNw
27,spotify:track:1ByKkALevy63Nd0VBw1ToD,"KESI, Lamin",To Gange,Universal Music A/S,215269,1,25,DNK,2025-01-23,1ByKkALevy63Nd0VBw1ToD
