rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
19,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,1240372,19,6,FRA,2025-01-23,35ISBknsCeZQtq66xABI9g
20,spotify:track:3Byu179ofnuChb4zF1fMhu,Werenoi,Pétunias,AllPoints,1217240,8,16,FRA,2025-01-23,3Byu179ofnuChb4zF1fMhu
21,spotify:track:7eqwODSSwRSniktCjCXZyW,"Theodora, Jeez Suave",KONGOLESE SOUS BBL,Maison Neptune X NBFD,1204574,10,12,FRA,2025-01-23,7eqwODSSwRSniktCjCXZyW
22,spotify:track:6hKkzk8UlVUj9ioPCyeH1O,Jul,Sous la lune,D'Or et de Platine,1146679,3,20,FRA,2025-01-23,6hKkzk8UlVUj9ioPCyeH1O
23,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,1123324,23,2,FRA,2025-01-23,2lTm559tuIvatlT1u0JYG2
24,spotify:track:338wPdNyvOPGZddfk81EKA,"Soolking, GIMS",CARRÉ OK,Universal Music MENA Distributed Labels,1097409,24,6,FRA,2025-01-23,338wPdNyvOPGZddfk81EKA
25,spotify:track:6P3HLPsc5pWu3sZYxL0S9N,SANTA,Recommence-moi,999 Productions / Parlophone,1095630,16,39,FRA,2025-01-23,6P3HLPsc5pWu3sZYxL0S9N
26,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",1056342,19,12,FRA,2025-01-23,7ne4VBA60CxGM75vw0EYad
27,spotify:track:5SLs7GOdSvWhbxxJkTqf2u,"Ninho, Niska",Collabo,Jefe Productions / Charo Inc / WMF / UMF,1049387,10,13,FRA,2025-01-23,5SLs7GOdSvWhbxxJkTqf2u
28,spotify:track:5cAzaNbU7AEgfsJgL9sbtX,Linh,Je pense à vous,Jo&Co / Black Star Music,1033912,28,9,FRA,2025-01-23,5cAzaNbU7AEgfsJgL9sbtX
29,spotify:track:32cwemsMJdzzsOYjVzfYMS,Helena,Mauvais Garçon,RCA Group,1030480,21,9,FRA,2025-01-23,32cwemsMJdzzsOYjVzfYMS
30,spotify:track:6uqUEyqPScFznadOkI7Nvm,Jul,"Un jour, je l'aurai",D'Or et de Platine,1012807,14,10,FRA,2025-01-23,6uqUEyqPScFznadOkI7Nvm
31,spotify:track:3nHuKdFJZm78CoeBnDcFKe,Teddy Swims,Bad Dreams,Warner Records,1008364,23,11,FRA,2025-01-23,3nHuKdFJZm78CoeBnDcFKe
32,spotify:track:1GiJNHhNGReHSeHbkU02DX,"SKUNK, Tiitof, Leto",Mwen An Sa,Elektra France,975522,32,2,FRA,2025-01-23,1GiJNHhNGReHSeHbkU02DX
33,spotify:track:2lftd3hyoAZ0DdxwyUqBw5,GIMS,Où aller,Play Two,909085,15,18,FRA,2025-01-23,2lftd3hyoAZ0DdxwyUqBw5
34,spotify:track:4ZBslg1i1eHVOMhZZoX5fx,Bouss,Parler tout bas,Le Grand Carré / Level Up Music,899332,27,37,FRA,2025-01-23,4ZBslg1i1eHVOMhZZoX5fx
35,spotify:track:15vGti1ooNZFlDUdlLukX6,"Booba, SDM",Dolce Camara,Universal Music Distribution Deal,891578,2,50,FRA,2025-01-23,15vGti1ooNZFlDUdlLukX6
36,spotify:track:2iEXkEB32esmNExcEyKjKc,Guy2Bezbar,Monaco,Blue Magic Corp,890827,3,27,FRA,2025-01-23,2iEXkEB32esmNExcEyKjKc
37,spotify:track:0Jh6iWjna1wk5le0Ahn7No,Ninho,La vie qu'on mène,Rec. 118 / Mal Luné Music,857849,3,305,FRA,2025-01-23,0Jh6iWjna1wk5le0Ahn7No
38,spotify:track:5496lks6V3fh1mZAB6IAap,"Sevdaliza, Pabllo Vittar, Yseult",Alibi (with Pabllo Vittar & Yseult),Twisted Elegance,850867,13,29,FRA,2025-01-23,5496lks6V3fh1mZAB6IAap
39,spotify:track:0M3oxmcIljJfjIPhpEwcyH,GIMS,OHMA TOKITA,Play Two,843464,15,17,FRA,2025-01-23,0M3oxmcIljJfjIPhpEwcyH
